epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,84.0607,0.67374,1.35392,1.0852,0.00338,1,0.95375,0.76741,0.81772,2.78008,1.15007,0.000457541,0.000457541,0.000457541
44,85.8221,0.78776,1.29281,1.12955,0.00338,1,0.95375,0.76741,0.81772,2.78008,1.15007,0.000462522,0.000462522,0.000462522
45,87.7897,0.80487,1.38444,1.1824,0.00339,1,0.95375,0.75074,0.91267,2.76388,1.24353,0.000467227,0.000467227,0.000467227
46,89.6847,0.70458,1.2594,1.13306,0.00339,1,0.95375,0.75074,0.91267,2.76388,1.24353,0.000471657,0.000471657,0.000471657
47,91.6415,0.86395,1.23944,1.16088,0.00341,1,0.995,0.796,0.79789,2.77146,1.11913,0.000475812,0.000475812,0.000475812
48,93.5779,0.71556,1.19611,1.08211,0.00341,1,0.995,0.796,0.79789,2.77146,1.11913,0.000479692,0.000479692,0.000479692
49,95.3647,0.70526,1.17236,1.02746,0.80581,0.16667,0.863,0.6694,0.79599,2.81388,1.15749,0.000483297,0.000483297,0.000483297
50,97.1698,0.96562,1.25776,1.24774,0.80581,0.16667,0.863,0.6694,0.79599,2.81388,1.15749,0.000486626,0.000486626,0.000486626
51,99.0062,0.81431,1.12059,1.13393,0.80047,0.16667,0.83,0.62736,1.00189,2.88978,1.28742,0.000489681,0.000489681,0.000489681
52,100.833,0.77961,1.1455,1.02841,0.80047,0.16667,0.83,0.62736,1.00189,2.88978,1.28742,0.000492461,0.000492461,0.000492461
53,103.316,0.70502,1.20187,1.14089,0.80047,0.16667,0.83,0.62736,1.00189,2.88978,1.28742,0.000494966,0.000494966,0.000494966
54,105.231,0.94585,1.3183,1.22482,0.84338,0.16667,0.80643,0.59572,0.99441,2.89705,1.41791,0.000497195,0.000497195,0.000497195
